
|Art and Humanities|Humanities|4
|Art and Humanities|Art|19
|Art and Humanities|Directories|2
|Art and Humanities|Events|1
|Business and Economy|Opportunities|9
|Business and Economy|Economy|1
|Business and Economy|Resources|20
|Business and Economy|News|0
|Computer|Training|9
|Computer|Software|21
|Computer|Resources|8
|Computer|Hardware|7
|Education|University|1
|Education|K-12|4
|Education|Science|0
|Education|Business|4
|Government|Studies|0
|Government|News|1
|Government|International|0
|Government|United States|3
|Internet|News|1
|Internet|Design|42
|Internet|Promotion|24
|Internet|Webmasters|50
|Internet|Users|15
|Internet|Financial|3
|Lifestyle|Family|2
|Lifestyle|Relationships|3
|Lifestyle|Communities|5
|Lifestyle|Opportunities|15
|Lifestyle|Alternative|2
|Lifestyle|Parenting|3
|News and Media|Humor|8
|News and Media|Newspapers|0
|News and Media|Magazines|4
|News and Media|Broadcast|0
|News and Media|Entertainment|8
|News and Media|Personal Views|0
|Recreation|Hobbies|6
|Recreation|Misc.|14
|Recreation|Movies|1
|Recreation|Sports|14
|Recreation|Games|6
|Recreation|Travel|17
|Recreation|Outdoors|13
|Reference|Academic|7
|Reference|Services|1
|Reference|Science and Technology|0
|Reference|Law|1
|Reference|Creative|2
|Reference|Other|3
|Shopping|Research|0
|Shopping|Internet|36
|Shopping|Local|5
|Shopping|Manufacturers|1
|Shopping|Consumer Info|2
|Health|Alternative|11
|Health|News|1
|Health|Medical|2
|Health|Resources|4
